k,rho_3,rho_8,rho_random_mean,err_3_8_orig,err_3_8_mod,delta_reduction,mean_angle_deg
5,0.4576116149875128,0.4949553778171764,0.0065375998828315,31.0,61.0,-30.0,18.000013
10,0.4646615196458747,0.5408155615122723,0.0127738905439515,22.0,26.0,-4.0,9.000024
20,0.6042465152863747,0.6343143164984759,0.0255931591012817,22.0,29.0,-7.0,4.5000296
40,0.7526609890758036,0.69846051522153,0.0524480336536317,,,,
