k,rho_3,rho_8,rho_random_mean
5,0.4576116149875128,0.49495537781717647,0.006537599882831547
10,0.46466151964587477,0.5408155615122723,0.012773890543951538
20,0.6042465152863747,0.6343143164984759,0.025593159101281782
40,0.7526609890758036,0.69846051522153,0.05244803365363174
